blank,service,stylist,senior_stylist,salon_director
,Ladies Cut & Blowdry,£29,£33,£35
,Gents cut & finish,£16,£19,£21
,Infants cut & finish (under 5),£8,£9,£10
,Childs cut & finish (under 12),£13,£14,£15
,Girls cut & finish (12-15 years),£19,£20,£21
,Boys cut & finish (12-15 years),£15,£16,£17
,Blow dry,£18,£19,£20
,Bouncy blow dry,£22,£23,£24
,GHD styling (dry) from,£15,£16,£17
,Hair-up (dry) from,£25,£30,£32
,Bridal hair up from,,£45,£48
,Bridal hair up at home (per stylist),,Price on consultation,
,,,,
,Colouring,,,
,Highlights with tint,£53,£55,£60
,Full head highlights,£49,£51,£56
,Full head tint,£43,£45,£48
,Half head highlights,£40,£42,£47
,Re-growth tint,£33,£35,£40
,T-section highlights,£33,£34,£39
,Semi permanent,£31,£33,£38
,Parting highlights,£28,£30,£35
,Glossing,£13,£15,£20
,"Colour refresh (semi-permanent, no regrowth)",£13,£15,£20
,Colour correction or change,Price on consultation,,
,,,,
,Couture colour,,,
,"The ultimate colour experience, truly personalised to your needs - Price on consulatation from",£46,from £48,from£53
,,,,
,Colour Conturing,,,
,Price on consulation from,£45,£47,£52
,,,,
,Perming,,,
,Classic,£41,£43,£48
,Long hair,Price on consultation,,
,,,,
,Treatments,,,
,Intensive conditioning treatment,£13,,
,Intensive conditioning alchemy treatment,£16,,
,Kebelo smoothing system,£135 (Including £40 of take home products),,
,Olaplex from,£20,,
,Bondage from,£6,,
,,,,
,Ear piercing,,,
,,£20,,
